Genus,Species,Sample code,Location,Population,Species,Population,Plant,Leaf,Sample,Phytolith,ArBBox,Area,ArEqD,AspRatio,Breadth,CArea,CHull,Circularity,Compactness,Concavity,Convexity,Curve_Length,Curve_Width,EqEllAr,Feret,MaxR,MBCRadius,MinR,ModRatio,PerEqD,Perimeter,Rectangularity,RFactor,Roundness,Shape,Solidity,Sphericity
Panicum,miliace,2_11,Bcn-1,PI 463490,1,2,4,8,15,48,2431,1462,43.145,1.182,45.35,1654.5,149.292,0.562,0.805,192.5,0.825,23,9.7,1909.303,53.6,26.832,26.8,8.313,0.31,465.369,180.853,0.601,0.887,0.648,22.372,0.884,0.31
Panicum,miliace,2_11,Bcn-1,PI 463490,1,2,4,8,15,49,2843,1350.5,41.467,1.226,48.16,1754.5,161.486,0.408,0.702,404,0.792,26,9.8,2232.887,59.034,31.718,29.592,6.374,0.216,429.878,203.924,0.475,0.871,0.493,30.792,0.77,0.201
Panicum,miliace,2_11,Bcn-1,PI 463490,1,2,4,8,15,50,2806,1488,43.527,1.442,44.12,1875.5,167.558,0.48,0.684,387.5,0.849,26.5,9,2203.827,63.6,32.019,31.8,4.455,0.14,473.645,197.338,0.53,0.839,0.468,26.171,0.793,0.139
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,1,2342,1253.5,39.95,1.579,38.52,1562.5,155.772,0.485,0.657,309,0.864,24.1,9.1,1839.402,60.803,31.884,30.401,5.121,0.168,399.001,180.267,0.535,0.815,0.432,25.924,0.802,0.161
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,2,1941,1068,36.876,1.404,37.18,1322,140.041,0.495,0.706,254,0.85,21.4,8.6,1524.458,52.202,26.661,26.101,5.26,0.202,339.955,164.711,0.55,0.854,0.499,25.402,0.808,0.197
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,3,3357,1888,49.029,1.206,52.75,2199.5,176.167,0.599,0.77,311.5,0.885,25.1,11.4,2636.582,63.64,33.249,31.82,11.758,0.37,600.969,198.995,0.562,0.881,0.594,20.974,0.858,0.354
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,4,2323,1173.5,38.654,1.493,39.44,1475.5,149.805,0.466,0.656,302,0.842,24.3,8.5,1824.48,58.898,30.245,29.449,6.602,0.224,373.537,177.924,0.505,0.81,0.431,26.976,0.795,0.218
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,5,2252,1193.5,38.982,1.425,39.76,1473.5,149.479,0.513,0.688,280,0.874,23.2,9,1768.717,56.639,29.598,28.32,6.061,0.214,379.903,170.953,0.53,0.84,0.474,24.487,0.81,0.205
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,6,2116,1190.5,38.933,1.38,39.16,1460,145.863,0.528,0.72,269.5,0.867,22.7,8.9,1661.902,54.037,27.806,27.019,5.632,0.208,378.948,168.267,0.563,0.859,0.519,23.783,0.815,0.203
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,7,2147,1123.5,37.822,1.387,39.35,1406,143.513,0.492,0.693,282.5,0.847,22.8,8.2,1686.25,54.562,27.887,27.281,5.829,0.214,357.621,169.439,0.523,0.837,0.481,25.554,0.799,0.209
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,8,1665,949.5,34.77,1.399,34.49,1171,130.944,0.529,0.72,221.5,0.872,19.7,8.1,1307.688,48.27,24.532,24.135,6.73,0.279,302.235,150.125,0.57,0.863,0.519,23.736,0.811,0.274
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,9,2254,1230.5,39.582,1.229,42.83,1510,144.702,0.5,0.752,279.5,0.823,23.3,9.6,1770.287,52.631,27.202,26.315,7.311,0.278,391.68,175.924,0.546,0.875,0.566,25.152,0.815,0.269
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,10,1839,990.5,35.513,1.258,38.23,1160.5,130.488,0.55,0.738,170,0.867,19.7,8.2,1444.347,48.104,24.483,24.066,5.733,0.238,315.286,150.468,0.539,0.863,0.545,22.858,0.854,0.234
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,11,3275,1637,45.654,1.632,44.8,2088,182.463,0.446,0.624,451,0.85,29.2,9.1,2572.179,73.11,37.79,36.555,5.97,0.163,521.073,214.652,0.5,0.794,0.39,28.146,0.784,0.158
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,12,1962,1006,35.789,1.103,42.17,1252.5,132.211,0.482,0.769,246.5,0.816,19.4,9,1540.951,46.53,24.137,23.307,9.214,0.396,320.22,162.024,0.513,0.904,0.592,26.095,0.803,0.382
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,13,1666,951,34.797,1.125,38.49,1147,124.34,0.548,0.804,196,0.842,16.8,9.1,1308.473,43.29,22,21.645,9.228,0.426,302.713,147.74,0.571,0.914,0.646,22.952,0.829,0.419
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,14,2060,1209.5,39.243,1.562,36.32,1483,149.184,0.51,0.692,273.5,0.864,22.8,8.7,1617.92,56.719,28.449,28.359,5.094,0.18,384.996,172.61,0.587,0.837,0.479,24.634,0.816,0.179
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,15,2554,1243.5,39.79,1.177,46.59,1602,150.395,0.422,0.726,358.5,0.782,22.6,8.8,2005.907,54.818,29.36,27.409,5.031,0.184,395.818,192.409,0.487,0.873,0.527,29.772,0.776,0.171
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,16,1884,973,35.197,1.48,35.68,1217.5,133.368,0.444,0.667,244.5,0.803,21.3,8,1479.69,52.802,26.483,26.401,7.643,0.29,309.716,166.024,0.516,0.804,0.444,28.329,0.799,0.289
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,17,2463,1257,40.006,1.307,43.42,1571.5,151.291,0.466,0.705,314.5,0.821,24.4,8.7,1934.436,56.727,28.867,28.364,5.689,0.201,400.116,184.167,0.51,0.849,0.497,26.983,0.8,0.197
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,18,2398,1373.5,41.819,1.503,39.94,1702.5,157.66,0.483,0.697,329,0.834,24.6,8.9,1883.385,60.033,30.266,30.017,6.199,0.207,437.199,189.095,0.573,0.836,0.485,26.034,0.807,0.205
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,19,2490,1299.5,40.676,1.229,45.01,1623.5,151.551,0.455,0.735,324,0.8,24.4,8.6,1955.641,55.317,27.901,27.66,5.071,0.183,413.644,189.439,0.522,0.872,0.541,27.616,0.8,0.182
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,20,2141,1193.5,38.982,1.693,35.56,1405,149.884,0.54,0.647,211.5,0.9,23,8.2,1681.537,60.208,30.116,30.104,6.401,0.213,379.903,166.61,0.557,0.792,0.419,23.258,0.849,0.213
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,21,3270,1703,46.565,1.47,47.16,2139.5,180.487,0.492,0.672,436.5,0.865,28.7,9.5,2568.252,69.34,34.797,34.67,7.317,0.211,542.082,208.652,0.521,0.829,0.451,25.564,0.796,0.21
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,22,3762,1916.5,49.398,1.133,57.61,2331,179.827,0.487,0.756,414.5,0.809,25.5,11.6,2954.668,65.299,33.245,32.65,6.814,0.209,610.041,222.409,0.509,0.877,0.572,25.811,0.822,0.205
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,23,3472,1877.5,48.893,1.397,49.86,2335.5,183.713,0.508,0.702,458,0.852,28.4,10.4,2726.902,69.642,35.422,34.821,6.069,0.174,597.627,215.581,0.541,0.84,0.493,24.754,0.804,0.171
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,24,3001,1641.5,45.717,1.256,48.88,1973.5,167.492,0.527,0.745,332,0.846,25.6,10.5,2356.98,61.4,31.307,30.7,8.339,0.272,522.506,197.924,0.547,0.868,0.554,23.865,0.832,0.266
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,25,3086,1646,45.779,1.11,52.73,2011.5,167.058,0.504,0.782,365.5,0.825,25.2,10.4,2423.739,58.523,30.397,29.303,7.572,0.259,523.938,202.51,0.533,0.909,0.612,24.915,0.818,0.249
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,26,4325,2081,51.474,1.146,61.43,2650,193.842,0.391,0.731,569,0.75,30.7,11.8,3396.847,70.406,36.163,35.203,8.458,0.24,662.403,258.451,0.481,0.876,0.535,32.098,0.785,0.234
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,27,4244,2080.5,51.468,1.126,61.4,2752.5,194.499,0.404,0.745,672,0.765,31.9,11.9,3333.23,69.123,36.15,34.562,7.024,0.203,662.244,254.35,0.49,0.896,0.554,31.095,0.756,0.194
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,28,2229,1183,38.81,1.481,38.8,1436.5,146.535,0.524,0.675,253.5,0.87,22.9,8.2,1750.652,57.454,29.805,28.727,6.28,0.219,376.561,168.368,0.531,0.812,0.456,23.962,0.824,0.211
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,29,2584,1436.5,42.767,1.454,42.16,1784.5,163.595,0.484,0.698,348,0.847,25.3,9.3,2029.469,61.294,31.644,30.65,2.595,0.085,457.252,193.095,0.556,0.85,0.487,25.956,0.805,0.082
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,30,2888,1445,42.893,1.34,46.43,1826,165.559,0.482,0.69,381,0.853,26.8,9.7,2268.23,62.201,31.988,31.138,3.607,0.116,459.958,194.167,0.5,0.847,0.476,26.09,0.791,0.113
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,31,2671,1610.5,45.283,1.173,47.72,1873.5,158.766,0.598,0.809,263,0.863,22.9,10.3,2097.799,55.973,28.283,28.007,8.918,0.319,512.638,183.924,0.603,0.903,0.655,21.005,0.86,0.315
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,32,2746,1413.5,42.423,1.521,42.48,1781.5,165.151,0.499,0.656,368,0.875,25.9,8.7,2156.703,64.637,32.565,32.319,8.409,0.26,449.931,188.752,0.515,0.813,0.431,25.205,0.793,0.258
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,33,2332,1354,41.521,1.476,39.75,1643.5,155.864,0.523,0.708,289.5,0.864,23.1,9,1831.548,58.669,29.464,29.334,4.864,0.166,430.992,180.368,0.581,0.846,0.501,24.027,0.824,0.165
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,34,2259,1239,39.718,1.19,43.56,1455,144.77,0.568,0.766,216,0.875,21.2,9.5,1774.214,51.856,27.666,25.929,7.192,0.277,394.386,165.539,0.548,0.889,0.587,22.117,0.852,0.26
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,35,2478,1259.5,40.046,1.231,44.87,1522,148.824,0.516,0.725,262.5,0.85,22.1,8.9,1946.217,55.227,27.968,27.622,6.497,0.235,400.911,175.095,0.508,0.858,0.526,24.342,0.828,0.232
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,36,2227,1141,38.115,1.331,40.9,1428,144.569,0.452,0.7,287,0.812,23.7,9,1749.082,54.452,28.237,27.226,0.434,0.016,363.192,178.024,0.512,0.845,0.49,27.776,0.799,0.015
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,37,2230,1162,38.464,1.394,39.99,1457,146.694,0.468,0.69,295,0.83,23.8,7.9,1751.438,55.758,28.06,27.879,3.556,0.128,369.876,176.711,0.521,0.837,0.476,26.873,0.798,0.127
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,38,1607,860.5,33.1,1.205,36.51,1003,118.647,0.581,0.752,142.5,0.869,17,7.8,1262.135,44.011,22.23,22.006,7.857,0.357,273.906,136.468,0.535,0.858,0.566,21.643,0.858,0.353
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,39,2612,1300,40.684,1.204,46.58,1613.5,152.067,0.468,0.725,313.5,0.814,24.7,8.7,2051.46,56.08,29.466,28.04,5.484,0.196,413.803,186.853,0.498,0.863,0.526,26.857,0.806,0.186
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,40,2424,1222,39.445,1.099,46.96,1534.5,146.531,0.478,0.764,312.5,0.818,21.4,9.1,1903.805,51.614,26.893,25.833,5.737,0.222,388.975,179.196,0.504,0.904,0.584,26.278,0.796,0.213
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,41,2493,1327,41.105,1.391,42.33,1682.5,155.155,0.482,0.698,355.5,0.834,25.3,8.4,1957.998,58.898,30.372,29.468,6.354,0.216,422.397,186.024,0.532,0.839,0.487,26.078,0.789,0.209
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,42,2712,1384.5,41.986,1.246,46.65,1727.5,157.9,0.453,0.722,343,0.805,24.5,9.3,2130,58.138,29.483,29.069,7.363,0.253,440.7,196.066,0.511,0.865,0.522,27.766,0.801,0.25
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,43,3094,1518.5,43.971,1.257,49.61,1955,167.511,0.459,0.705,436.5,0.821,27,9.2,2430.022,62.37,31.649,31.185,6.034,0.193,483.354,203.924,0.491,0.855,0.497,27.386,0.777,0.191
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,44,2478,1307.5,40.801,1.206,45.33,1648,151.696,0.48,0.746,340.5,0.82,25.2,8.9,1946.217,54.672,27.968,27.336,3.961,0.145,416.19,185.095,0.528,0.883,0.557,26.203,0.793,0.142
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,45,2324,1265,40.133,1.274,42.72,1613.5,149.98,0.477,0.738,348.5,0.822,24.2,8.8,1825.265,54.406,27.284,27.203,7.543,0.277,402.662,182.51,0.544,0.877,0.544,26.332,0.784,0.276
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,46,2068,1171.5,38.621,1.43,38.03,1453.5,145.065,0.485,0.71,282,0.832,22.9,8.4,1624.203,54.378,27.643,27.189,2.583,0.095,372.9,174.267,0.566,0.849,0.504,25.923,0.806,0.093
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,47,2661,1610,45.276,1.387,43.81,1884,162.523,0.518,0.745,274,0.822,25,9.4,2089.945,60.745,30.846,30.373,5.753,0.189,512.479,197.681,0.605,0.852,0.556,24.272,0.855,0.186
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,48,2406,1273.5,40.267,1.107,46.62,1513,145.238,0.532,0.78,239.5,0.837,20.2,9.4,1889.668,51.614,26.974,25.819,8.418,0.326,405.368,173.439,0.529,0.896,0.609,23.621,0.842,0.312
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,49,2552,1387,42.024,1.295,44.39,1698.5,156.323,0.519,0.731,311.5,0.853,24,9.5,2004.336,57.489,28.956,28.745,7.83,0.272,441.496,183.196,0.543,0.866,0.534,24.197,0.817,0.27
Panicum,miliace,2_12,Bcn-1,PI 463490,1,2,4,8,16,50,1993,1090,37.254,1.302,39.13,1297,135.403,0.557,0.731,207,0.863,20.2,8.8,1565.299,50.931,25.693,25.466,9.25,0.363,346.958,156.853,0.547,0.846,0.535,22.571,0.84,0.36
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,1,2898,1464.5,43.182,1.314,46.96,1903,166.514,0.45,0.7,438.5,0.823,26.5,9.5,2276.084,61.717,32.156,30.907,6.54,0.212,466.165,202.267,0.505,0.859,0.49,27.936,0.77,0.203
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,2,1751,1104.5,37.501,1.412,35.21,1276.5,136.132,0.583,0.754,172,0.882,20.2,8.3,1375.232,49.729,25.801,24.871,6.59,0.265,351.573,154.267,0.631,0.871,0.569,21.547,0.865,0.255
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,3,2475,1334,41.213,1.371,42.48,1611.5,156.69,0.529,0.707,277.5,0.88,23.3,9.2,1943.86,58.258,29.678,29.191,6.181,0.212,424.625,178.024,0.539,0.856,0.5,23.758,0.828,0.208
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,4,2336,1259,40.038,1.316,42.13,1545,149.387,0.517,0.722,286,0.854,23.6,9.1,1834.69,55.444,27.852,27.722,5.872,0.212,400.752,174.853,0.539,0.858,0.521,24.284,0.815,0.211
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,5,2786,1479.5,43.402,1.62,41.47,1880,168.428,0.456,0.646,400.5,0.834,27.2,8.2,2188.119,67.186,35.762,33.593,6.126,0.182,470.939,201.924,0.531,0.798,0.417,27.559,0.787,0.171
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,6,2621,1225,39.493,1.142,47.91,1590.5,152.543,0.452,0.722,365.5,0.827,22.6,9.3,2058.529,54.708,27.932,27.365,6.059,0.221,389.93,184.51,0.467,0.888,0.521,27.791,0.77,0.217
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,7,2268,1099.5,37.416,1.196,43.54,1446.5,144.445,0.408,0.718,347,0.785,24.2,8.3,1781.283,52.086,26.145,26.091,4.23,0.162,349.982,183.924,0.485,0.883,0.516,30.767,0.76,0.162
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,8,2422,1268.5,40.188,1.313,42.94,1535,148.697,0.53,0.713,266.5,0.857,22.7,9.1,1902.234,56.4,28.41,28.2,8.368,0.297,403.776,173.439,0.524,0.839,0.508,23.714,0.826,0.295
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,9,3037,1638.5,45.675,1.173,50.89,2045.5,169.458,0.49,0.765,407,0.827,26.2,10,2385.254,59.682,30.316,29.861,6.345,0.213,521.551,204.894,0.54,0.904,0.586,25.622,0.801,0.209
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,10,4198,1832,48.297,1.32,56.4,2566,196.808,0.356,0.649,734,0.773,33.4,10.8,3297.102,74.431,38.952,37.216,5.049,0.136,583.144,254.451,0.436,0.842,0.421,35.341,0.714,0.13
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,11,3468,1736,47.014,1.1,56.14,2168.5,175.227,0.509,0.761,432.5,0.847,25.9,11.1,2723.761,61.774,31.888,30.987,8.571,0.277,552.586,206.995,0.501,0.903,0.579,24.681,0.801,0.269
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,12,3897,1864.5,48.723,1.226,56.38,2392,187.374,0.467,0.705,527.5,0.836,29.4,11.2,3060.697,69.116,35.474,34.558,6.71,0.194,593.489,224.066,0.478,0.863,0.497,26.927,0.779,0.189
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,13,2487,1273,40.26,1.192,45.67,1622.5,152.628,0.458,0.739,349.5,0.817,22.7,10,1953.285,54.452,27.533,27.226,8.539,0.314,405.208,186.853,0.512,0.892,0.547,27.427,0.785,0.31
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,14,2221,1152,38.298,1.391,39.96,1441,146.879,0.459,0.689,289,0.827,23.6,8.5,1744.369,55.579,28.864,27.789,5.687,0.205,366.693,177.681,0.519,0.841,0.475,27.405,0.799,0.197
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,15,2605,1383.5,41.971,1.338,44.13,1710,159.375,0.488,0.711,326.5,0.844,24.4,9.3,2045.962,59.034,29.87,29.517,6.206,0.21,440.382,188.752,0.531,0.859,0.505,25.752,0.809,0.208
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,16,2394,1312.5,40.879,1.188,44.88,1578.5,148.822,0.561,0.766,266,0.868,22.7,9.3,1880.243,53.339,27.058,26.674,8.188,0.307,417.782,171.439,0.548,0.888,0.587,22.393,0.831,0.303
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,17,2352,1321,41.012,1.198,44.31,1628.5,150.839,0.524,0.773,307.5,0.847,22.9,9.6,1847.256,53.085,26.766,26.618,6.286,0.237,420.487,178.024,0.562,0.904,0.597,23.991,0.811,0.235
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,18,2399,1333,41.197,1.121,46.26,1625,149.192,0.553,0.794,292,0.857,21.7,9.4,1884.17,51.865,26.325,25.942,8.353,0.322,424.307,174.024,0.556,0.916,0.631,22.719,0.82,0.317
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,19,2142,1334,41.213,1.263,41.19,1543.5,146.6,0.605,0.792,209.5,0.88,21.4,9.6,1682.323,52.01,26.551,26.145,9.757,0.375,424.625,166.51,0.623,0.897,0.628,20.784,0.864,0.367
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,20,2902,1582,44.881,1.28,47.61,1979,167.946,0.459,0.736,397,0.807,27,9.5,2279.226,60.959,30.633,30.48,4.675,0.153,503.566,208.167,0.545,0.877,0.542,27.391,0.799,0.153
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,21,1964,1129,37.914,1.216,40.18,1327.5,136.119,0.615,0.776,198.5,0.896,19.2,8.9,1542.522,48.877,26.13,24.466,8.638,0.353,359.372,151.882,0.575,0.886,0.602,20.432,0.85,0.331
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,22,2506,1265.5,40.141,1.217,45.38,1586.5,152.424,0.491,0.727,321,0.847,23.7,8.6,1968.208,55.218,28.335,27.641,5.679,0.206,402.821,179.924,0.505,0.879,0.528,25.581,0.798,0.2
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,23,2275,1228.5,39.55,1.429,39.91,1486.5,149.112,0.545,0.694,258,0.886,23.2,8.8,1786.781,57.009,28.746,28.504,5.495,0.193,391.044,168.267,0.54,0.833,0.481,23.047,0.826,0.191
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,24,1981,983,35.378,1.081,42.81,1248.5,132.293,0.498,0.765,265.5,0.84,18.9,8.3,1555.874,46.271,23.652,23.149,5.552,0.24,312.899,157.539,0.496,0.91,0.585,25.248,0.787,0.235
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,25,2178,1215.5,39.34,1.199,42.62,1413.5,140.477,0.611,0.77,198,0.888,20.4,9.1,1710.597,51.108,25.789,25.559,9.668,0.378,386.906,158.125,0.558,0.875,0.593,20.571,0.86,0.375
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,26,2497,1295,40.606,1.404,42.18,1611.5,154.9,0.489,0.686,316.5,0.849,24.8,8.3,1961.139,59.203,29.915,29.604,4.881,0.165,412.211,182.51,0.519,0.833,0.47,25.722,0.804,0.163
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,27,2288,1183,38.81,1.266,42.52,1449,146.768,0.458,0.721,266,0.815,23.4,9.1,1796.991,53.814,27.48,26.917,1.124,0.042,376.561,180.167,0.517,0.868,0.52,27.439,0.816,0.041
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,28,2366,1168.5,38.572,1.395,41.18,1437.5,146.976,0.493,0.671,269,0.851,23.7,7.9,1858.252,57.454,29.239,28.727,6.129,0.213,371.945,172.61,0.494,0.814,0.451,25.498,0.813,0.21
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,29,2132,1091.5,37.279,1.263,41.09,1369.5,138.309,0.549,0.719,278,0.875,19.4,9.5,1674.469,51.884,26.901,25.942,8.197,0.316,347.435,158.125,0.512,0.849,0.516,22.907,0.797,0.305
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,30,2619,1371,41.781,1.354,43.98,1694,158.908,0.469,0.702,323,0.829,24.9,9.1,2056.958,59.548,30.264,29.796,5.261,0.177,436.403,191.681,0.523,0.849,0.492,26.799,0.809,0.174
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,31,1998,1136.5,38.04,1.171,41.3,1366,136.249,0.559,0.786,229.5,0.853,19.8,9.1,1569.226,48.374,25.095,24.187,9.214,0.381,361.759,159.782,0.569,0.897,0.618,22.464,0.832,0.367
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,32,2232,1290,40.528,1.176,43.57,1480,142.417,0.667,0.791,190,0.914,20.4,10.3,1753.009,51.225,26.095,25.612,10.645,0.416,410.62,155.882,0.578,0.885,0.626,18.837,0.872,0.408
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,33,2273,1455,43.041,2.176,32.32,1861.5,175.642,0.471,0.612,406.5,0.892,26.1,8.8,1785.21,70.328,35.692,35.19,3.811,0.108,463.141,196.995,0.64,0.795,0.375,26.671,0.782,0.107
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,34,2349,1319.5,40.988,1.824,35.89,1622,163.198,0.508,0.626,302.5,0.903,24.9,8.5,1844.9,65.46,33.603,32.732,5.408,0.165,420.01,180.752,0.562,0.794,0.392,24.76,0.814,0.161
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,35,1930,1186.5,38.868,1.775,32.98,1447.5,150.41,0.502,0.664,261,0.873,22.7,8.3,1515.818,58.523,29.887,29.266,4.083,0.14,377.675,172.267,0.615,0.818,0.441,25.011,0.82,0.137
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,36,2910,1491.5,43.578,1.621,42.37,2024,178.897,0.43,0.635,532.5,0.857,27.4,9.7,2285.509,68.68,34.5,34.34,5.893,0.172,474.759,208.752,0.513,0.829,0.403,29.217,0.737,0.171
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,37,2144,1122.5,37.805,1.323,40.25,1345,140.511,0.511,0.71,222.5,0.846,22.1,8.4,1683.894,53.263,26.836,26.632,3.771,0.142,357.303,166.125,0.524,0.84,0.504,24.586,0.835,0.141
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,38,2677,1365,41.689,1.256,46.17,1738.5,159.123,0.457,0.719,373.5,0.822,25.1,9.5,2102.511,57.983,29.656,29.013,5.947,0.205,434.493,193.681,0.51,0.874,0.517,27.482,0.785,0.201
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,39,1928,1149,38.249,1.631,34.38,1386.5,146.101,0.511,0.682,237.5,0.87,22.8,8.3,1514.248,56.08,28.672,28.053,5.369,0.191,365.738,168.024,0.596,0.829,0.465,24.571,0.829,0.187
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,40,2030,1174.5,38.671,1.48,37.03,1415,145.364,0.486,0.705,240.5,0.834,22.4,8.4,1594.358,54.818,28.047,27.409,5.311,0.194,373.855,174.267,0.579,0.844,0.498,25.857,0.83,0.189
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,41,3953,2142,52.223,1.211,57.12,2608,193.798,0.463,0.755,466,0.804,29.7,11.8,3104.679,69.203,35.519,34.601,6.663,0.193,681.82,241.137,0.542,0.891,0.569,27.146,0.821,0.188
Panicum,miliace,3_1,Bcn-2,PI 170593,1,3,5,9,17,42,4044,1953.5,49.873,1.262,56.6,2534.5,194.153,0.437,0.698,581,0.82,30.9,11.1,3176.15,71.449,36.141,35.725,8.428,0.236,621.818,236.894,0.483,0.865,0.487,28.727,0.771,0.233
