Genus,Species,Sample code,Location,Population,Species,Population,Plant,Leaf,Sample,Phytolith,ArBBox,Area,ArEqD,AspRatio,Breadth,CArea,CHull,Circularity,Compactness,Concavity,Convexity,Curve_Length,Curve_Width,EqEllAr,Feret,MaxR,MBCRadius,MinR,ModRatio,PerEqD,Perimeter,Rectangularity,RFactor,Roundness,Shape,Solidity,Sphericity
Panicum,miliace,10_5,Bcn-1,PI 578074,1,1,1,2,3,48,1948,1124,37.83,1.168,40.83,1281,134.732,0.588,0.793,157,0.869,19.3,8.8,1529.956,47.707,24.609,23.883,7.799,0.327,357.78,155.054,0.577,0.899,0.629,21.389,0.877,0.317
Panicum,miliace,10_5,Bcn-1,PI 578074,1,1,1,2,3,49,1964,1094,37.322,1.041,43.43,1257,132.219,0.571,0.825,163,0.852,19.3,9.1,1542.522,45.222,23.705,22.805,8.508,0.376,348.231,155.196,0.557,0.931,0.681,22.016,0.87,0.359
Panicum,miliace,10_5,Bcn-1,PI 578074,1,1,1,2,3,50,1727,1064.5,36.815,1.219,37.64,1212.5,130.153,0.626,0.802,148,0.891,19,8.8,1356.383,45.88,23.077,22.944,8.994,0.392,338.841,146.125,0.616,0.903,0.644,20.059,0.878,0.39
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,1,3609,2013,50.626,1.24,53.96,2410.5,185.53,0.552,0.757,397.5,0.866,27.4,11.5,2834.502,66.888,34.4,33.495,8.986,0.269,640.758,214.167,0.558,0.883,0.573,22.786,0.835,0.261
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,2,2847,1406.5,42.318,1.4,45.1,1865,165.026,0.39,0.67,458.5,0.775,27.3,8.9,2236.029,63.127,32.852,31.563,5.895,0.187,447.703,212.894,0.494,0.832,0.449,32.225,0.754,0.179
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,3,2565,1665,46.043,1.298,44.45,1904,162.23,0.604,0.798,239,0.871,22.6,10.2,2014.546,57.706,29.008,28.854,9.698,0.336,529.986,186.167,0.649,0.895,0.637,20.816,0.874,0.334
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,4,3052,1567,44.667,1.221,49.99,1905,167.176,0.541,0.732,338,0.876,25.8,10.4,2397.035,61.057,31.142,30.529,7.59,0.249,498.792,190.853,0.513,0.872,0.535,23.245,0.823,0.244
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,5,2296,1217.5,39.372,1.579,38.13,1474,154.459,0.48,0.654,256.5,0.865,24,8.5,1803.274,60.216,30.503,30.108,3.562,0.118,387.542,178.61,0.53,0.816,0.428,26.203,0.826,0.117
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,6,3040,1597,45.093,1.249,49.34,1936.5,165.67,0.535,0.732,339.5,0.855,25.6,9.9,2387.61,61.612,31.421,30.814,9.649,0.313,508.341,193.681,0.525,0.856,0.536,23.489,0.825,0.307
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,7,3523,1870,48.795,1.251,53.06,2197,177.644,0.559,0.735,327,0.867,28,10.9,2766.958,66.4,33.594,33.2,10.513,0.317,595.24,204.995,0.531,0.852,0.54,22.472,0.851,0.313
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,8,3243,1746.5,47.156,1.151,53.08,2024.5,169.401,0.604,0.772,278,0.889,24.1,11.2,2547.046,61.098,31.686,30.549,10.196,0.334,555.928,190.61,0.539,0.883,0.596,20.803,0.863,0.322
