@relation skull-measurements

@ATTRIBUTE Sex   {M,F}
@ATTRIBUTE Population  STRING
@ATTRIBUTE GOL   NUMERIC
@ATTRIBUTE BBH   NUMERIC
@ATTRIBUTE ZYB   NUMERIC
@ATTRIBUTE AUB   NUMERIC
@ATTRIBUTE NLH   NUMERIC
@ATTRIBUTE OBH   NUMERIC
@ATTRIBUTE OBB   NUMERIC
@ATTRIBUTE NLB   NUMERIC
@ATTRIBUTE MDH   NUMERIC
@ATTRIBUTE OCC   NUMERIC
  
@DATA
F,TEITA,175,129,132,120,47,30,37,29,30,92
F,TEITA,174,129,128,116,53,32,39,29,26,95
F,TEITA,163,128,126,115,44,30,40,28,28,82
F,TEITA,175,131,123,110,44,33,37,24,24,85
F,TEITA,184,129,127,113,46,33,38,28,24,101
F,TEITA,181,129,124,115,52,37,39,27,29,96
F,TEITA,176,130,125,111,48,32,36,25,19,94
F,TEITA,182,126,130,113,51,32,38,29,20,89
F,TEITA,171,126,125,118,48,33,36,27,30,89
F,TEITA,171,122,124,110,51,32,36,29,20,81
F,TEITA,177,128,124,114,45,32,39,30,27,90
F,TEITA,177,128,130,113,50,30,41,29,25,94
F,TEITA,176,128,123,109,49,30,36,27,23,83
F,TEITA,185,129,126,112,49,32,37,27,23,94
F,TEITA,175,127,124,112,43,33,38,26,28,86
F,TEITA,172,117,118,109,47,34,38,28,25,83
F,TEITA,169,122,122,107,40,33,37,25,23,91
F,TEITA,177,125,126,114,46,32,39,25,23,92
F,TEITA,172,123,125,113,42,33,40,26,26,94
F,TEITA,166,122,123,113,41,31,36,26,19,83
F,TEITA,172,124,117,105,52,33,38,28,24,82
F,TEITA,179,124,128,115,48,32,37,31,22,91
F,TEITA,176,123,124,111,47,34,37,27,26,91
F,TEITA,177,111,126,118,44,34,37,23,23,86
F,TEITA,178,123,119,108,47,34,38,27,25,89
F,TEITA,176,130,122,115,44,33,39,27,26,91
F,TEITA,172,124,125,112,48,35,39,26,28,87
F,TEITA,178,127,124,113,48,33,38,25,21,89
F,TEITA,163,118,121,110,46,34,35,27,27,85
F,TEITA,168,123,119,110,42,29,38,26,24,82
F,TEITA,166,123,118,107,45,30,38,26,17,92
F,TEITA,172,124,119,111,43,30,39,27,28,94
F,TEITA,179,127,122,113,47,33,40,26,22,90
F,TEITA,177,127,128,118,52,34,38,29,21,94
F,TEITA,171,121,122,109,41,33,37,31,23,90
F,TEITA,169,123,122,110,44,30,38,26,22,86
F,TEITA,171,129,120,109,46,30,37,29,26,95
F,TEITA,175,124,125,113,46,32,38,29,21,90
F,TEITA,176,129,117,108,45,32,35,25,21,90
F,TEITA,177,123,122,108,50,30,36,29,22,93
F,TEITA,176,124,123,113,47,36,40,26,23,99
F,TEITA,180,129,129,114,44,29,39,29,24,93
F,TEITA,174,119,122,109,46,32,36,25,21,91
F,TEITA,169,123,125,110,44,33,39,26,20,89
F,TEITA,173,124,124,111,47,31,38,29,26,88
M,DOGON,175,134,128,116,50,36,39,30,30,91
M,DOGON,182,129,127,112,49,32,41,30,33,91
M,DOGON,169,128,130,119,49,34,41,28,29,87
M,DOGON,194,135,130,119,47,31,39,28,31,100
M,DOGON,172,130,130,113,48,34,38,27,31,87
M,DOGON,180,136,128,115,43,34,40,27,30,105
M,DOGON,180,152,138,117,49,34,40,28,23,95
M,DOGON,172,126,127,113,46,29,39,26,32,89
M,DOGON,175,133,121,108,44,32,38,26,27,91
M,DOGON,174,132,124,109,46,33,39,29,31,92
M,DOGON,175,133,132,114,48,35,40,28,26,97
M,DOGON,172,130,129,116,50,34,40,27,31,90
M,DOGON,176,131,124,113,47,31,36,27,30,97
M,DOGON,184,137,127,114,46,34,38,27,33,106
M,DOGON,177,135,133,123,42,34,40,29,27,92
M,DOGON,175,139,132,113,46,33,37,30,32,95
M,DOGON,182,138,131,115,48,35,39,28,30,90
M,DOGON,177,135,129,114,49,35,38,28,26,98
M,DOGON,179,132,129,115,45,30,38,31,30,94
M,DOGON,178,127,132,118,49,34,39,29,26,80
M,DOGON,178,128,124,113,47,31,39,26,32,98
M,DOGON,189,129,138,122,47,30,41,31,35,91
M,DOGON,188,132,135,118,49,35,43,30,34,100
M,DOGON,178,127,136,117,49,34,39,28,25,89
M,DOGON,175,133,130,115,49,36,38,30,30,95
M,DOGON,177,124,128,113,49,35,38,26,28,93
M,DOGON,182,135,128,116,49,36,40,26,26,99
M,DOGON,181,130,124,112,49,34,41,29,27,95
M,DOGON,180,130,135,120,52,37,43,27,29,91
M,DOGON,180,138,133,120,48,35,43,27,33,95
M,DOGON,177,136,128,113,44,33,41,28,26,96
M,DOGON,180,133,132,114,47,37,43,29,29,103
M,DOGON,176,129,130,117,52,35,41,32,31,93
M,DOGON,168,130,127,112,41,32,40,30,27,93
M,DOGON,179,125,124,112,44,34,40,25,27,93
M,DOGON,179,129,126,118,50,34,39,30,29,96
M,DOGON,171,134,131,117,48,34,41,29,27,92
M,DOGON,177,133,126,105,46,32,39,30,29,94
M,DOGON,173,131,133,114,53,36,39,31,27,95
M,DOGON,178,134,134,120,54,36,41,28,31,93
F,DOGON,165,121,122,109,46,30,37,30,24,90
F,DOGON,161,129,119,107,42,32,37,27,25,91
F,DOGON,164,126,124,111,46,32,38,27,26,88
F,DOGON,169,130,122,107,51,32,39,29,27,96
F,DOGON,164,132,122,112,49,34,39,29,26,92
F,DOGON,177,127,121,109,47,34,36,29,25,88
F,DOGON,163,129,129,115,46,33,42,26,28,88
F,DOGON,167,124,114,108,44,33,36,26,25,95
F,DOGON,178,137,124,107,48,31,38,30,26,96
F,DOGON,167,126,120,111,46,30,40,29,27,93
F,DOGON,174,130,122,113,52,36,39,28,25,106
F,DOGON,179,128,117,108,46,32,39,27,29,100
F,DOGON,163,123,118,108,47,34,36,25,28,90
F,DOGON,178,130,119,107,48,33,39,26,27,91
F,DOGON,177,128,124,116,46,33,39,28,26,97
F,DOGON,174,126,121,112,44,34,38,25,24,101
F,DOGON,168,122,114,105,45,31,37,27,25,95
F,DOGON,172,129,118,109,49,32,39,29,22,92
F,DOGON,160,126,119,108,48,33,37,26,27,98
F,DOGON,178,133,126,112,49,35,40,27,27,98
F,DOGON,173,125,124,111,46,33,42,27,24,97
F,DOGON,177,129,124,111,45,33,37,28,28,99
F,DOGON,163,129,119,110,48,33,36,27,21,91
M,DOGON,170,122,124,114,42,31,35,28,25,101
F,DOGON,184,134,120,109,47,34,41,31,23,101
F,DOGON,160,124,122,107,43,32,36,27,25,91
F,DOGON,168,125,121,108,46,31,37,27,27,88
F,DOGON,170,130,120,110,43,34,37,28,21,95
F,DOGON,183,133,123,115,46,31,37,32,25,105
F,DOGON,165,124,119,106,47,34,39,31,29,91
F,DOGON,172,123,122,111,46,33,39,28,25,96
F,DOGON,176,135,121,109,46,34,36,28,24,94
F,DOGON,169,123,121,111,47,33,39,26,22,95
F,DOGON,166,127,125,110,43,37,39,29,28,103
F,DOGON,162,134,115,104,45,29,37,26,25,98
F,DOGON,165,129,122,108,48,35,42,28,27,94
F,DOGON,174,127,127,113,43,32,38,28,27,93
F,DOGON,177,135,120,107,47,34,39,29,21,98
F,DOGON,179,129,120,106,44,34,38,27,24,100
F,DOGON,168,131,122,111,47,30,40,29,25,90
F,DOGON,157,123,117,103,43,32,37,25,24,80
F,DOGON,170,134,120,108,49,33,40,28,20,92
F,DOGON,174,130,118,110,47,32,38,29,24,100
F,DOGON,172,129,124,115,44,34,37,29,30,97
F,DOGON,170,137,123,109,44,34,36,27,24,92
F,DOGON,168,123,120,106,46,31,36,26,29,94
F,DOGON,165,128,124,109,42,33,39,26,22,91
F,DOGON,168,127,122,108,49,34,38,27,21,93
F,DOGON,164,132,118,112,45,31,37,26,28,94
F,DOGON,169,127,117,108,47,34,36,27,26,94
F,DOGON,169,118,127,113,46,29,38,29,24,87
F,DOGON,171,131,130,120,51,35,39,29,28,79
M,ZULU,189,135,129,116,48,31,38,30,30,94
M,ZULU,176,140,130,118,48,33,38,26,29,98
M,ZULU,182,132,126,112,48,34,44,30,22,102
M,ZULU,192,131,130,117,47,32,40,28,30,97
M,ZULU,189,128,129,116,48,36,41,28,31,89
M,ZULU,191,140,133,119,48,33,42,30,27,96
M,ZULU,176,129,125,110,47,32,40,26,29,90
M,ZULU,182,126,126,112,48,36,42,29,29,90
M,ZULU,190,138,123,113,53,33,40,29,30,103
M,ZULU,194,144,135,120,51,34,39,28,28,97
M,ZULU,182,130,127,118,49,31,40,30,32,105
M,ZULU,195,135,124,115,48,34,41,26,30,109
M,ZULU,185,129,127,113,47,33,40,30,27,95
M,ZULU,180,132,126,116,51,35,38,25,27,96
M,ZULU,186,137,131,118,50,31,39,31,28,100
M,ZULU,184,133,133,120,51,36,40,27,27,86
M,ZULU,172,131,131,115,54,34,39,29,22,88
M,ZULU,187,139,135,119,54,36,42,31,31,97
M,ZULU,194,145,136,121,54,37,43,29,32,108
M,ZULU,196,138,134,123,52,31,42,30,29,108
M,ZULU,191,131,128,118,49,36,39,30,26,94
M,ZULU,188,144,131,116,50,33,41,25,33,108
M,ZULU,189,130,131,113,51,35,40,29,26,95
M,ZULU,180,123,130,116,48,31,39,30,30,93
M,ZULU,185,146,134,115,50,33,40,27,29,95
M,ZULU,191,133,135,120,48,33,44,28,28,102
M,ZULU,183,137,130,118,52,32,37,31,27,98
M,ZULU,187,129,129,118,49,33,41,30,29,88
M,ZULU,176,127,130,118,52,35,39,31,31,95
M,ZULU,180,122,130,117,50,34,41,30,30,94
M,ZULU,184,127,124,115,48,33,38,25,23,103
M,ZULU,182,130,128,113,43,30,40,26,29,87
M,ZULU,186,133,137,120,48,35,43,29,25,90
M,ZULU,180,133,130,115,52,35,39,29,30,90
M,ZULU,194,143,130,119,52,33,42,32,29,97
M,ZULU,188,134,128,116,49,34,39,26,30,99
M,ZULU,179,132,126,113,50,33,41,29,28,93
M,ZULU,190,134,128,113,48,34,41,31,26,100
M,ZULU,180,127,123,111,49,34,40,30,21,100
M,ZULU,174,124,134,119,47,33,42,26,33,93
M,ZULU,178,136,131,116,51,33,40,26,28,100
M,ZULU,182,137,131,117,53,33,41,29,27,97
M,ZULU,190,140,139,124,57,36,44,32,30,96
M,ZULU,180,135,129,113,50,34,40,25,27,89
M,ZULU,182,135,131,115,51,35,40,29,25,100
M,ZULU,182,125,122,111,49,33,35,29,26,93
M,ZULU,192,130,128,114,52,33,40,28,24,98
M,ZULU,183,142,129,117,51,37,42,28,29,102
M,ZULU,181,130,129,116,47,36,40,27,28,93
M,ZULU,196,145,139,118,53,33,43,31,34,101
M,ZULU,190,140,134,121,54,35,42,31,34,105
F,ZULU,179,125,123,117,47,32,39,28,26,94
F,ZULU,177,126,120,112,49,32,39,29,23,92
F,ZULU,190,133,124,115,54,34,38,26,28,96
F,ZULU,186,119,117,109,50,31,37,29,23,94
F,ZULU,185,135,128,114,45,31,40,28,30,102
F,ZULU,181,125,120,109,45,33,39,29,27,90
F,ZULU,182,132,126,112,52,34,40,31,22,94
F,ZULU,175,125,127,115,49,33,39,25,30,89
F,ZULU,178,133,119,114,46,28,38,27,30,96
F,ZULU,182,132,125,114,49,37,39,29,24,94
F,ZULU,185,136,123,109,51,34,43,30,28,93
F,ZULU,175,121,120,110,43,29,37,28,25,91
F,ZULU,176,120,116,109,41,28,38,26,24,94
F,ZULU,179,128,122,116,48,36,41,28,28,95
F,ZULU,176,136,117,109,46,31,39,27,22,99
F,ZULU,181,129,118,108,47,34,39,28,28,105
F,ZULU,189,135,126,120,49,33,39,30,32,86
F,ZULU,173,124,121,115,48,33,40,27,19,92
F,ZULU,178,131,125,112,48,36,41,30,26,104
F,ZULU,173,124,122,109,47,31,39,26,24,93
F,ZULU,181,131,121,113,46,32,40,27,27,93
F,ZULU,186,136,126,119,46,32,38,27,29,99
F,ZULU,186,127,122,116,51,32,39,29,26,98
F,ZULU,174,128,123,114,48,34,38,27,26,93
F,ZULU,176,126,122,111,45,31,39,29,20,95
F,ZULU,174,123,128,118,50,31,37,33,25,91
F,ZULU,177,131,123,111,48,32,38,30,24,96
F,ZULU,176,125,120,116,47,31,38,29,28,89
F,ZULU,185,134,127,111,47,34,40,30,24,105
F,ZULU,174,119,117,108,42,32,39,25,22,87
F,ZULU,184,132,129,120,45,33,40,26,27,100
F,ZULU,171,123,114,107,44,34,40,26,25,92
F,ZULU,181,125,122,113,45,34,43,25,22,93
F,ZULU,174,127,123,109,49,32,39,30,25,92
F,ZULU,183,135,117,112,47,32,39,27,23,96
F,ZULU,174,133,124,117,49,35,39,27,28,95
F,ZULU,172,129,119,109,44,32,38,25,20,94
F,ZULU,179,122,128,116,45,31,41,27,32,93
F,ZULU,175,141,126,113,48,33,39,27,23,100
F,ZULU,179,130,125,115,48,35,41,29,20,102
F,ZULU,177,134,126,110,50,35,37,27,24,96
F,ZULU,186,131,131,117,45,33,40,29,31,100
F,ZULU,173,124,118,108,46,35,40,27,22,96
F,ZULU,182,130,128,113,50,36,40,29,30,90
F,ZULU,181,134,126,114,47,36,39,30,30,94
F,ZULU,172,123,124,112,50,35,38,29,26,99
M,BUSHMAN,182,122,119,110,43,30,40,25,20,91
M,BUSHMAN,179,119,123,112,44,31,37,26,26,85
M,BUSHMAN,186,124,127,108,48,31,41,28,30,89
M,BUSHMAN,182,117,119,107,41,28,38,27,25,89
M,BUSHMAN,180,120,119,112,44,29,41,30,31,87
M,BUSHMAN,180,124,126,113,49,32,39,32,27,94
M,BUSHMAN,173,124,126,113,44,33,39,26,18,91
M,BUSHMAN,178,121,117,110,42,27,38,26,23,86
M,BUSHMAN,168,122,119,112,40,27,38,26,20,79
M,BUSHMAN,176,129,115,108,42,28,38,25,22,84
M,BUSHMAN,191,124,136,120,46,34,43,28,29,90
M,BUSHMAN,171,114,123,115,42,30,39,25,26,87
M,BUSHMAN,184,123,126,111,46,32,41,26,28,93
M,BUSHMAN,191,134,133,125,48,31,42,28,22,94
M,BUSHMAN,181,126,130,122,48,32,42,33,31,91
M,BUSHMAN,174,119,123,115,46,34,41,27,21,85
M,BUSHMAN,176,125,126,111,44,31,39,31,26,96
M,BUSHMAN,174,122,124,117,41,29,39,28,29,80
M,BUSHMAN,179,123,120,109,41,30,41,26,24,95
M,BUSHMAN,177,122,123,115,42,28,41,25,26,90
M,BUSHMAN,178,130,132,122,43,30,40,28,31,91
M,BUSHMAN,181,115,122,113,43,30,39,26,27,87
M,BUSHMAN,186,125,133,121,45,37,42,25,25,86
M,BUSHMAN,168,114,120,111,40,32,41,29,24,84
M,BUSHMAN,180,124,119,108,43,30,38,24,28,89
M,BUSHMAN,183,122,125,118,49,31,40,27,27,85
M,BUSHMAN,178,121,123,110,45,32,40,26,29,83
M,BUSHMAN,178,129,123,110,43,32,38,28,21,91
M,BUSHMAN,172,126,120,107,47,35,37,29,22,88
M,BUSHMAN,170,120,121,115,42,29,37,25,23,86
M,BUSHMAN,164,127,126,113,42,29,39,27,20,88
M,BUSHMAN,177,114,120,111,43,31,38,27,24,87
M,BUSHMAN,172,119,121,105,38,28,39,27,28,87
M,BUSHMAN,185,129,124,113,50,33,40,30,27,102
F,BUSHMAN,174,117,118,106,45,33,36,24,25,85
F,BUSHMAN,178,119,120,111,47,31,39,26,19,90
F,BUSHMAN,179,121,123,115,44,32,38,27,30,95
F,BUSHMAN,180,121,123,117,49,37,40,26,26,91
F,BUSHMAN,170,119,111,108,39,29,34,26,20,92
F,BUSHMAN,167,112,118,108,42,29,38,27,25,79
F,BUSHMAN,167,117,124,111,43,30,39,26,18,84
F,BUSHMAN,175,123,122,113,42,31,37,22,26,93
F,BUSHMAN,173,111,118,109,44,30,38,30,30,88
F,BUSHMAN,167,115,114,104,41,31,36,25,17,82
F,BUSHMAN,180,125,117,109,41,27,37,24,30,92
F,BUSHMAN,171,113,119,112,42,31,36,28,27,83
F,BUSHMAN,179,123,108,103,45,30,36,27,16,83
F,BUSHMAN,175,122,115,106,39,30,37,25,21,89
F,BUSHMAN,162,117,118,107,41,29,36,25,21,88
F,BUSHMAN,169,120,118,103,43,32,38,23,19,86
F,BUSHMAN,163,120,119,114,44,30,39,24,18,83
F,BUSHMAN,171,123,115,107,41,28,37,26,21,95
F,BUSHMAN,168,119,121,105,41,31,39,26,21,87
F,BUSHMAN,164,117,111,108,43,34,38,24,24,87
F,BUSHMAN,166,117,109,104,42,31,36,21,20,83
F,BUSHMAN,169,113,115,101,38,32,36,25,22,84
F,BUSHMAN,168,114,113,103,43,31,38,25,19,84
F,BUSHMAN,179,128,119,109,43,32,38,25,22,90
F,BUSHMAN,178,124,121,113,49,34,42,31,21,93
F,BUSHMAN,172,119,114,103,45,32,40,25,23,90
F,BUSHMAN,165,123,129,117,48,35,39,25,28,88
F,BUSHMAN,167,119,120,110,45,31,39,28,16,81
F,BUSHMAN,173,127,113,106,44,32,39,29,24,96
F,BUSHMAN,184,131,123,113,48,34,37,28,16,104
F,BUSHMAN,172,119,112,104,41,30,37,25,23,90
F,BUSHMAN,174,121,110,101,39,28,36,25,26,93
F,BUSHMAN,177,115,122,115,41,29,39,28,19,86
F,BUSHMAN,166,116,111,100,40,29,36,29,20,85
F,BUSHMAN,173,116,118,105,42,33,38,28,18,82
F,BUSHMAN,180,120,118,114,44,31,37,26,25,90
F,BUSHMAN,169,124,114,108,40,33,38,25,16,88
F,BUSHMAN,172,115,109,103,40,29,38,25,20,88
F,BUSHMAN,181,130,123,113,48,31,38,28,19,94
F,BUSHMAN,182,123,123,108,42,30,38,27,23,91
F,BUSHMAN,171,121,111,105,44,33,38,26,18,92
F,BUSHMAN,172,132,116,103,45,31,39,25,24,96
M,AUSTRALI,194,123,143,127,50,33,41,28,31,92
M,AUSTRALI,191,131,133,121,48,35,41,28,28,92
M,AUSTRALI,188,127,141,121,50,35,42,27,27,94
M,AUSTRALI,184,128,138,123,48,31,41,28,28,87
M,AUSTRALI,179,122,132,120,46,35,38,27,26,84
M,AUSTRALI,192,130,132,113,49,32,43,29,31,89
M,AUSTRALI,187,129,140,124,53,31,42,28,35,94
M,AUSTRALI,196,123,139,121,52,34,42,29,25,88
M,AUSTRALI,185,125,134,121,49,34,42,25,30,97
M,AUSTRALI,186,130,127,109,48,32,41,25,30,85
M,AUSTRALI,186,129,136,121,54,36,42,28,26,89
M,AUSTRALI,186,126,131,116,49,34,42,28,26,89
M,AUSTRALI,181,122,131,114,48,30,40,27,27,84
M,AUSTRALI,183,127,137,118,49,33,40,26,26,91
M,AUSTRALI,183,130,135,120,50,33,41,26,26,91
M,AUSTRALI,193,132,135,121,52,34,42,28,26,95
M,AUSTRALI,188,130,135,117,50,33,40,27,22,85
M,AUSTRALI,197,139,135,123,50,35,41,27,30,98
M,AUSTRALI,200,122,141,122,50,37,42,29,30,88
M,AUSTRALI,189,127,139,119,51,37,45,31,32,94
M,AUSTRALI,195,123,133,115,54,36,41,30,28,85
M,AUSTRALI,192,120,138,119,53,39,44,28,29,88
M,AUSTRALI,189,129,137,121,49,35,42,27,28,91
M,AUSTRALI,192,125,133,112,47,34,43,29,31,89
M,AUSTRALI,195,137,139,124,48,33,42,28,31,99
M,AUSTRALI,195,133,134,118,54,34,43,29,29,100
M,AUSTRALI,188,131,137,117,53,34,42,27,30,94
M,AUSTRALI,194,138,141,121,48,33,40,29,34,91
M,AUSTRALI,201,134,137,123,48,34,42,25,29,99
M,AUSTRALI,196,136,134,113,51,32,43,30,31,98
M,AUSTRALI,192,139,144,123,48,31,43,29,30,95
M,AUSTRALI,198,124,135,118,47,32,41,29,26,94
M,AUSTRALI,189,131,135,119,43,34,44,27,30,100
M,AUSTRALI,196,133,140,118,45,32,42,25,28,95
M,AUSTRALI,190,137,133,118,50,33,43,30,29,97
M,AUSTRALI,195,135,139,123,52,33,44,30,37,94
M,AUSTRALI,184,133,139,122,50,31,42,29,29,90
M,AUSTRALI,189,122,143,123,48,33,40,27,30,88
M,AUSTRALI,190,130,138,122,46,33,44,29,36,94
M,AUSTRALI,195,124,136,120,51,34,43,28,32,92
M,AUSTRALI,189,132,139,124,49,34,41,29,34,92
M,AUSTRALI,198,125,142,128,56,35,45,29,35,93
M,AUSTRALI,188,136,142,127,48,31,44,28,32,99
M,AUSTRALI,196,143,146,127,54,35,41,30,37,100
M,AUSTRALI,189,127,138,123,52,33,40,26,33,86
M,AUSTRALI,186,124,135,123,53,31,41,27,31,91
M,AUSTRALI,188,137,134,118,48,29,42,27,28,96
M,AUSTRALI,189,133,136,119,47,35,39,26,32,90
F,AUSTRALI,191,127,133,116,50,34,40,26,27,92
F,AUSTRALI,189,121,122,109,44,33,39,27,25,87
F,AUSTRALI,178,121,128,110,48,34,39,28,26,86
F,AUSTRALI,180,130,130,116,45,31,40,24,26,97
F,AUSTRALI,188,126,132,118,45,34,41,28,24,98
F,AUSTRALI,174,120,127,113,45,32,41,27,28,79
F,AUSTRALI,178,118,130,117,47,34,40,27,26,95
F,AUSTRALI,180,121,124,107,43,34,40,25,22,91
F,AUSTRALI,186,132,121,115,48,36,38,24,27,100
F,AUSTRALI,190,130,124,112,48,34,40,26,26,90
F,AUSTRALI,172,121,121,106,43,35,41,26,22,85
F,AUSTRALI,180,122,125,116,48,29,39,24,21,94
F,AUSTRALI,169,122,123,112,46,34,41,27,21,91
F,AUSTRALI,172,121,118,109,52,37,40,25,19,90
F,AUSTRALI,175,117,127,115,47,32,40,27,29,86
F,AUSTRALI,182,123,128,110,47,36,40,27,27,99
F,AUSTRALI,181,121,133,113,47,34,43,27,24,94
F,AUSTRALI,182,125,132,117,40,31,42,27,24,90
F,AUSTRALI,187,126,134,123,49,34,38,25,27,94
F,AUSTRALI,188,127,124,118,47,33,41,26,28,94
F,AUSTRALI,188,122,126,112,46,33,41,25,29,90
F,AUSTRALI,172,122,120,109,42,31,39,27,21,90
F,AUSTRALI,177,126,127,112,44,34,39,26,25,92
F,AUSTRALI,187,123,122,113,47,34,40,25,22,91
F,AUSTRALI,178,132,126,116,47,32,38,28,27,88
F,AUSTRALI,196,132,138,124,50,36,42,27,19,96
F,AUSTRALI,185,118,124,110,42,32,38,25,23,86
F,AUSTRALI,181,124,124,108,45,32,41,28,27,95
F,AUSTRALI,178,115,119,107,47,31,39,27,27,85
F,AUSTRALI,179,126,132,117,50,37,40,28,26,92
F,AUSTRALI,186,127,123,114,48,32,40,25,27,98
F,AUSTRALI,175,120,123,114,44,32,38,24,21,89
F,AUSTRALI,185,125,130,118,46,32,43,28,23,89
F,AUSTRALI,184,125,125,109,45,32,41,26,25,95
F,AUSTRALI,178,127,123,116,50,33,41,26,23,91
F,AUSTRALI,182,124,128,117,49,35,39,24,26,94
F,AUSTRALI,183,119,126,115,46,32,40,26,26,92
F,AUSTRALI,187,136,131,122,46,34,40,28,23,103
F,AUSTRALI,178,121,123,114,48,33,41,24,28,90
F,AUSTRALI,172,119,116,103,45,34,39,27,24,88
F,AUSTRALI,192,123,127,114,46,30,42,26,25,91
F,AUSTRALI,173,118,118,108,43,33,35,28,22,88
F,AUSTRALI,181,124,125,115,50,36,38,23,26,91
F,AUSTRALI,169,118,125,111,44,30,41,23,22,87
F,AUSTRALI,183,125,122,110,48,34,39,29,26,92
F,AUSTRALI,176,114,120,108,47,33,39,27,25,87
F,AUSTRALI,190,130,131,119,51,33,43,28,27,96
F,AUSTRALI,180,127,128,111,45,29,39,28,27,92
F,AUSTRALI,177,120,125,111,49,32,40,27,21,89
M,TASMANIA,185,126,132,122,49,34,40,29,24,96
M,TASMANIA,193,129,137,128,51,35,42,30,28,93
M,TASMANIA,186,134,135,124,50,33,39,24,32,93
M,TASMANIA,184,128,133,124,44,28,39,27,24,92
M,TASMANIA,180,128,136,122,46,28,43,30,28,85
M,TASMANIA,185,135,133,120,49,29,40,28,26,95
M,TASMANIA,195,134,131,124,53,33,42,30,26,98
M,TASMANIA,186,137,136,125,51,30,41,30,26,94
M,TASMANIA,174,127,129,123,46,28,37,29,26,88
M,TASMANIA,179,126,138,120,48,33,42,29,29,85
M,TASMANIA,183,124,134,121,47,30,40,29,20,89
M,TASMANIA,189,132,138,123,52,33,40,32,23,90
M,TASMANIA,188,137,139,129,44,30,43,32,25,94
M,TASMANIA,190,137,139,126,53,30,40,30,26,91
M,TASMANIA,182,132,138,128,51,34,41,28,24,92
M,TASMANIA,203,134,141,128,52,32,44,29,26,103
M,TASMANIA,185,122,134,121,48,27,42,28,31,91
M,TASMANIA,181,135,140,122,50,36,43,28,30,93
M,TASMANIA,192,132,135,122,52,30,44,24,33,99
M,TASMANIA,184,146,137,130,55,35,42,27,36,102
M,TASMANIA,194,131,139,131,49,35,42,24,32,102
M,TASMANIA,191,135,135,128,47,27,38,30,24,91
M,TASMANIA,181,131,148,128,51,34,45,33,29,98
M,TASMANIA,182,132,144,132,48,35,41,27,34,97
M,TASMANIA,186,137,138,116,45,29,41,27,31,95
M,TASMANIA,190,142,139,122,47,30,43,26,30,96
F,TASMANIA,170,132,123,116,44,30,38,27,18,94
F,TASMANIA,176,125,125,117,46,32,41,31,22,91
F,TASMANIA,185,134,125,116,48,33,37,26,20,99
F,TASMANIA,179,123,121,114,48,29,40,26,24,91
F,TASMANIA,186,125,133,122,48,31,40,28,22,89
F,TASMANIA,182,123,127,114,48,31,41,28,20,85
F,TASMANIA,182,123,125,117,44,29,41,30,24,88
M,TASMANIA,183,132,132,124,49,31,40,30,23,91
F,TASMANIA,180,129,128,116,45,31,42,28,22,93
F,TASMANIA,172,125,128,119,43,35,40,30,21,94
F,TASMANIA,177,127,126,121,43,30,40,27,23,97
F,TASMANIA,185,136,131,121,45,31,41,30,23,100
F,TASMANIA,165,121,114,108,43,32,38,26,19,87
F,TASMANIA,181,128,122,111,46,32,42,27,31,95
F,TASMANIA,183,126,132,120,48,35,42,31,21,95
F,TASMANIA,175,131,129,113,45,31,40,26,30,95
F,TASMANIA,175,115,125,119,44,29,40,25,23,92
F,TASMANIA,178,114,122,114,46,30,39,27,21,90
F,TASMANIA,172,125,123,114,44,30,39,26,20,87
F,TASMANIA,180,134,127,117,47,29,40,27,24,84
F,TASMANIA,182,131,133,117,48,28,39,26,21,91
F,TASMANIA,183,138,133,118,46,30,38,28,20,90
F,TASMANIA,180,130,124,116,44,29,40,29,24,88
F,TASMANIA,170,127,111,103,40,31,38,24,22,88
F,TASMANIA,188,123,137,127,48,33,43,26,21,95
F,TASMANIA,172,130,123,117,51,35,37,25,28,106
F,TASMANIA,176,127,120,117,44,29,39,28,18,96
F,TASMANIA,188,126,118,114,42,30,38,25,22,95
F,TASMANIA,180,121,128,120,44,29,38,28,21,90
F,TASMANIA,174,131,128,120,42,30,41,27,27,94
F,TASMANIA,176,119,124,116,44,32,38,29,21,85
F,TASMANIA,179,125,123,116,48,31,38,27,21,95
F,TASMANIA,179,123,123,117,45,28,38,27,20,93
F,TASMANIA,164,126,123,115,46,31,39,30,27,88
F,TASMANIA,180,129,126,114,45,31,41,28,27,102
M,TOLAI,178,134,131,120,51,35,41,27,26,103
M,TOLAI,189,136,137,126,51,34,39,27,35,98
M,TOLAI,186,135,132,118,49,31,40,28,28,95
M,TOLAI,182,132,137,119,42,31,41,29,28,91
M,TOLAI,190,137,136,122,48,30,38,26,30,94
M,TOLAI,188,135,136,125,50,33,44,27,32,91
M,TOLAI,189,142,140,124,49,30,41,31,28,101
M,TOLAI,194,140,142,123,52,31,42,30,34,101
M,TOLAI,187,139,137,122,51,33,40,27,30,94
M,TOLAI,180,135,139,121,53,35,42,29,31,101
M,TOLAI,175,133,133,120,46,32,40,27,30,90
M,TOLAI,184,134,141,123,49,33,42,24,32,92
M,TOLAI,186,135,139,125,46,31,40,27,31,100
M,TOLAI,176,137,138,120,48,33,40,29,34,92
M,TOLAI,186,135,133,117,47,32,41,26,28,97
M,TOLAI,183,132,136,120,48,30,40,30,28,94
