@relation skull-measurements

@ATTRIBUTE Sex   {M,F}
@ATTRIBUTE Population  STRING
@ATTRIBUTE GOL   NUMERIC
@ATTRIBUTE BBH   NUMERIC
@ATTRIBUTE ZYB   NUMERIC
@ATTRIBUTE AUB   NUMERIC
@ATTRIBUTE NLH   NUMERIC
@ATTRIBUTE OBH   NUMERIC
@ATTRIBUTE OBB   NUMERIC
@ATTRIBUTE NLB   NUMERIC
@ATTRIBUTE MDH   NUMERIC
@ATTRIBUTE OCC   NUMERIC
  
@DATA
M,ZALAVAR,178,133,129,123,51,34,42,22,32,94
M,ZALAVAR,180,129,127,116,46,28,39,26,28,94
M,ZALAVAR,183,138,130,123,51,33,41,24,27,92
M,ZALAVAR,178,127,127,119,53,32,40,27,30,90
M,ZALAVAR,184,141,127,122,52,35,40,22,27,104
M,ZALAVAR,192,127,132,125,50,36,41,27,29,100
M,ZALAVAR,190,142,139,125,52,32,41,27,33,105
M,ZALAVAR,194,138,136,125,49,34,40,25,30,96
M,ZALAVAR,181,137,133,124,51,33,39,26,28,95
M,ZALAVAR,180,139,134,126,50,34,39,25,27,101
M,ZALAVAR,175,132,132,123,49,32,41,28,28,94
M,ZALAVAR,176,125,125,120,45,29,39,25,25,95
M,ZALAVAR,192,140,133,117,50,34,40,25,30,98
M,ZALAVAR,181,135,136,124,55,32,41,26,29,94
M,ZALAVAR,187,138,136,129,56,35,40,25,31,92
M,ZALAVAR,181,138,131,119,50,32,40,25,26,94
M,ZALAVAR,192,142,134,128,53,35,40,27,33,105
M,ZALAVAR,188,139,137,124,55,35,40,26,28,89
M,ZALAVAR,196,139,137,129,53,33,43,29,30,108
M,ZALAVAR,185,133,134,124,53,36,39,23,31,90
M,ZALAVAR,195,132,138,133,53,33,40,27,30,96
M,ZALAVAR,189,128,130,124,50,30,37,27,32,101
M,ZALAVAR,188,129,137,125,52,32,42,26,31,95
M,ZALAVAR,188,140,137,121,51,30,39,28,26,101
M,ZALAVAR,193,144,134,126,50,34,41,24,30,102
M,ZALAVAR,191,142,134,123,54,32,40,27,31,92
M,ZALAVAR,187,133,133,126,54,32,40,27,32,94
M,ZALAVAR,188,138,123,113,50,31,38,25,30,95
M,ZALAVAR,183,133,129,117,51,29,41,25,28,91
M,ZALAVAR,178,133,132,122,49,30,42,27,26,90
M,ZALAVAR,187,141,134,120,50,33,39,26,29,98
M,ZALAVAR,185,138,134,121,53,32,41,25,25,95
M,ZALAVAR,181,132,130,120,48,31,40,24,22,95
M,ZALAVAR,171,132,130,121,48,30,39,26,35,89
M,ZALAVAR,189,133,134,129,53,35,39,25,32,99
M,ZALAVAR,191,139,138,126,48,31,39,27,27,96
M,ZALAVAR,185,139,127,119,46,31,39,23,33,105
M,ZALAVAR,193,141,136,128,56,36,40,25,34,104
M,ZALAVAR,179,137,136,128,50,32,39,24,29,96
M,ZALAVAR,188,133,134,127,47,30,39,25,30,98
M,ZALAVAR,194,124,135,124,52,33,40,24,28,100
M,ZALAVAR,188,138,134,124,56,35,41,26,34,95
M,ZALAVAR,178,123,134,128,57,33,40,26,32,90
M,ZALAVAR,182,128,136,128,51,33,38,24,30,89
F,ZALAVAR,185,135,128,125,50,34,40,22,32,102
F,ZALAVAR,171,129,122,116,43,32,38,23,21,103
F,ZALAVAR,179,140,133,123,51,36,40,25,28,98
F,ZALAVAR,172,128,127,119,50,33,40,25,23,96
F,ZALAVAR,178,123,135,130,52,32,39,26,23,92
F,ZALAVAR,174,124,128,120,51,31,38,25,26,89
F,ZALAVAR,174,127,127,117,49,34,40,24,26,96
F,ZALAVAR,187,135,132,123,50,34,39,26,28,92
F,ZALAVAR,178,127,123,113,47,32,37,25,25,96
F,ZALAVAR,179,137,124,118,46,35,38,24,30,91
F,ZALAVAR,178,121,127,123,50,31,42,26,21,93
F,ZALAVAR,183,135,129,120,48,31,40,25,24,102
F,ZALAVAR,176,121,121,116,46,32,38,24,26,99
F,ZALAVAR,172,125,125,117,48,31,36,26,27,87
F,ZALAVAR,177,141,125,118,51,31,37,25,27,99
F,ZALAVAR,174,134,121,111,46,30,38,24,30,97
F,ZALAVAR,179,129,129,122,47,31,39,23,31,93
F,ZALAVAR,174,126,114,110,51,33,34,23,25,92
F,ZALAVAR,174,126,117,111,48,30,37,24,26,92
F,ZALAVAR,176,124,126,117,49,33,37,25,25,95
F,ZALAVAR,180,135,129,121,51,33,41,23,26,96
F,ZALAVAR,172,132,126,123,50,34,38,24,22,91
F,ZALAVAR,167,129,126,120,50,34,37,24,27,93
F,ZALAVAR,168,125,122,117,46,30,39,25,31,91
F,ZALAVAR,179,129,124,116,54,34,40,25,27,93
F,ZALAVAR,178,134,128,123,51,34,41,23,27,88
F,ZALAVAR,176,125,128,120,50,35,39,23,26,97
F,ZALAVAR,168,127,124,115,47,32,37,25,22,94
F,ZALAVAR,167,125,121,114,46,30,38,27,25,95
F,ZALAVAR,173,124,122,120,50,32,36,27,27,92
F,ZALAVAR,181,123,126,122,51,33,40,26,25,95
F,ZALAVAR,191,133,132,123,50,34,38,26,28,102
F,ZALAVAR,176,131,128,118,48,33,41,25,24,97
F,ZALAVAR,178,121,126,120,50,33,37,22,27,93
F,ZALAVAR,166,126,120,113,42,30,40,30,25,92
F,ZALAVAR,182,130,123,114,49,31,39,25,28,96
F,ZALAVAR,165,128,123,116,45,30,36,22,25,85
F,ZALAVAR,186,124,124,117,49,29,40,27,33,94
F,ZALAVAR,172,128,122,115,43,29,40,22,31,93
F,ZALAVAR,185,134,131,126,49,30,37,25,27,97
F,ZALAVAR,178,133,127,119,46,31,39,25,28,101
F,ZALAVAR,179,131,125,115,47,32,42,26,24,91
F,ZALAVAR,172,120,122,120,47,30,38,22,26,88
F,ZALAVAR,174,131,124,121,47,31,40,24,24,90
F,ZALAVAR,187,129,129,121,51,34,40,27,25,91
M,BERG,173,125,135,130,52,34,39,25,28,91
M,BERG,176,130,146,135,55,35,43,27,30,91
M,BERG,185,132,136,130,52,34,39,27,29,98
M,BERG,170,129,124,115,48,32,40,23,31,86
M,BERG,180,127,142,129,56,35,40,27,30,86
M,BERG,186,128,132,126,49,32,37,26,29,102
M,BERG,182,119,133,130,50,33,41,28,31,102
M,BERG,196,130,138,132,47,33,42,29,26,98
M,BERG,174,134,133,123,53,33,41,24,26,90
M,BERG,174,129,148,140,51,34,42,26,31,96
M,BERG,193,131,144,139,48,33,38,23,23,98
M,BERG,178,135,140,129,52,34,42,27,26,93
M,BERG,184,129,136,130,49,33,40,22,22,96
M,BERG,195,124,140,133,54,33,42,31,30,95
M,BERG,181,127,134,129,52,34,40,25,27,94
M,BERG,185,133,138,127,50,35,42,24,30,101
M,BERG,198,133,134,126,56,31,42,26,24,99
M,BERG,179,130,134,123,54,34,41,27,30,94
M,BERG,178,135,140,131,51,33,40,25,25,91
M,BERG,171,138,132,125,50,29,38,24,29,91
M,BERG,174,125,130,124,53,35,39,24,27,89
M,BERG,181,129,139,133,53,36,39,24,24,95
M,BERG,179,132,131,128,49,33,41,25,26,105
M,BERG,174,137,138,130,53,38,41,27,26,92
M,BERG,180,127,133,123,44,31,40,26,24,96
M,BERG,174,138,138,131,54,35,41,25,27,97
M,BERG,179,133,136,131,49,34,41,26,31,95
M,BERG,194,132,131,125,58,36,43,26,30,102
M,BERG,177,137,136,130,56,39,41,22,30,93
M,BERG,181,127,138,131,52,36,40,27,26,91
M,BERG,188,132,138,130,50,33,41,24,27,98
M,BERG,176,123,133,125,51,33,38,27,28,90
M,BERG,180,132,134,124,47,31,39,26,32,92
M,BERG,180,130,140,126,54,35,39,26,36,97
M,BERG,171,126,131,116,52,34,39,30,27,91
M,BERG,193,129,137,123,55,35,40,23,29,94
M,BERG,187,131,139,130,57,36,40,24,33,98
M,BERG,167,125,131,122,49,32,38,24,26,79
M,BERG,180,129,134,126,52,35,41,26,30,95
M,BERG,172,127,131,125,50,36,41,23,31,86
M,BERG,183,127,136,128,46,32,38,27,33,99
M,BERG,172,133,139,129,49,32,40,25,28,97
M,BERG,179,131,131,120,56,36,44,25,30,88
M,BERG,182,130,128,120,52,34,39,24,30,99
M,BERG,174,126,137,129,53,37,40,27,29,94
M,BERG,175,132,128,116,54,33,38,24,27,89
M,BERG,183,132,133,126,53,32,40,29,30,97
M,BERG,168,132,130,125,48,33,38,22,28,89
M,BERG,188,130,130,122,51,31,40,25,26,97
M,BERG,189,130,133,127,50,35,40,23,31,97
M,BERG,174,135,137,128,51,33,40,24,26,101
M,BERG,177,141,134,126,50,33,40,25,32,100
F,BERG,171,129,128,122,49,32,38,28,28,97
F,BERG,178,126,132,129,55,35,41,24,25,90
F,BERG,165,121,126,123,56,33,38,25,23,88
F,BERG,169,125,132,129,44,31,38,28,26,86
F,BERG,176,126,127,122,51,37,39,25,30,89
F,BERG,174,121,130,122,50,36,39,26,29,86
F,BERG,175,129,128,121,50,33,39,24,25,90
F,BERG,179,120,122,118,53,34,39,27,26,93
F,BERG,173,130,133,128,45,32,38,25,26,94
F,BERG,166,121,125,115,48,32,39,23,24,93
F,BERG,177,133,126,115,47,30,38,25,23,98
F,BERG,166,124,124,117,49,32,37,23,28,93
F,BERG,161,123,132,126,43,28,38,28,28,93
F,BERG,155,122,127,118,45,29,38,25,26,84
F,BERG,170,120,128,120,52,33,40,28,26,85
F,BERG,167,128,130,129,49,33,39,26,26,90
F,BERG,180,120,118,110,52,36,39,24,23,87
F,BERG,166,126,127,123,45,32,38,26,25,92
F,BERG,176,134,126,118,48,31,38,23,22,90
F,BERG,177,124,123,117,48,34,36,24,18,94
F,BERG,176,115,131,128,50,36,41,26,29,93
F,BERG,164,119,122,115,44,31,38,26,25,86
F,BERG,174,122,121,115,47,32,37,24,26,95
F,BERG,165,132,130,122,51,34,39,26,28,97
F,BERG,180,117,126,121,50,33,40,26,26,94
F,BERG,175,129,125,119,51,34,37,23,28,91
F,BERG,163,118,130,122,47,34,37,26,25,85
F,BERG,175,115,123,117,50,34,39,24,24,80
F,BERG,168,119,131,122,53,32,39,30,27,90
F,BERG,181,119,126,122,47,33,38,25,23,91
F,BERG,173,132,125,120,49,31,38,24,26,99
F,BERG,157,122,122,118,42,29,39,25,20,89
F,BERG,165,127,124,116,51,35,39,25,25,91
F,BERG,179,120,130,124,45,35,39,23,27,90
F,BERG,158,122,129,121,48,35,38,23,22,87
F,BERG,172,123,128,124,48,34,39,23,26,97
F,BERG,162,121,124,120,48,32,39,25,21,90
F,BERG,166,127,121,117,44,32,37,27,21,94
F,BERG,169,133,123,119,48,32,37,22,31,102
F,BERG,179,123,129,124,47,32,39,26,27,103
F,BERG,176,127,122,116,47,32,37,25,27,89
F,BERG,164,127,121,114,46,30,36,23,24,90
F,BERG,170,125,117,115,51,34,37,23,27,95
F,BERG,178,128,129,122,51,34,40,23,24,97
F,BERG,162,124,132,124,49,35,38,23,27,91
F,BERG,167,122,124,116,48,33,39,26,28,87
F,BERG,168,127,129,123,46,32,39,24,26,93
F,BERG,171,123,123,116,46,33,38,23,26,95
F,BERG,172,127,130,118,46,33,38,22,26,103
F,BERG,175,129,123,117,50,31,37,26,26,88
F,BERG,170,123,131,127,45,32,42,25,30,84
F,BERG,178,135,132,126,46,32,38,25,28,94
F,BERG,165,123,121,115,46,32,37,25,23,84
M,EGYPT,201,144,135,124,56,33,42,24,30,103
M,EGYPT,182,136,126,117,46,35,40,22,28,97
M,EGYPT,182,143,134,122,54,34,41,25,26,99
M,EGYPT,189,136,126,119,52,30,38,24,30,102
M,EGYPT,173,128,131,122,54,35,38,25,28,92
M,EGYPT,182,128,130,116,55,36,40,24,30,97
M,EGYPT,178,137,125,120,48,31,39,24,31,99
