@relation chemical_pottery

@ATTRIBUTE group  {1,2,3,4,5,6,7}
@ATTRIBUTE Formula   STRING
@ATTRIBUTE Na2O   NUMERIC
@ATTRIBUTE MgO   NUMERIC
@ATTRIBUTE Al2O3   NUMERIC
@ATTRIBUTE SiO2   NUMERIC
@ATTRIBUTE Cl   NUMERIC
@ATTRIBUTE K2O   NUMERIC
@ATTRIBUTE TiO2   NUMERIC
@ATTRIBUTE Cr2O3   NUMERIC
@ATTRIBUTE MnO   NUMERIC
@ATTRIBUTE Fe2O3   NUMERIC
@ATTRIBUTE NiO   NUMERIC
@ATTRIBUTE CuO   NUMERIC
@ATTRIBUTE ZnO   NUMERIC
@ATTRIBUTE Rb2O   NUMERIC
@ATTRIBUTE SrO   NUMERIC
@ATTRIBUTE Y2O3   NUMERIC
@ATTRIBUTE ZrO2   NUMERIC
@ATTRIBUTE Nb2O5   NUMERIC
@ATTRIBUTE BaO   NUMERIC

@DATA
"7","AVI_D",0.301,1.76,12.2,65.4,0.104,7.19,1.16,0.0481,0.028,5.93,0.0117,0.0178,0.0249,0.0668,0.019,0.0001,0.0501,0.0017,0.0276
"7","AVI_E",0.372,1.61,11.1,63.9,0.0862,7.21,1.23,0.0181,0.0276,6.51,0,0,0.0123,0.0717,0.0181,0.002,0.0605,0.0038,0.0023
"7","AVI_F",0.34,1.6,10.4,63.3,0.113,6.92,1.13,0.02,0.0338,6.36,0.0051,0.0073,0.0174,0.0723,0.0211,0.0016,0.0518,0.0038,0.0112
"7","AVI_G",0.343,1.47,11,68.2,0.085,6.5,1.21,0.0265,0.0285,6.51,0.0054,0.0069,0.0152,0.0657,0.0222,0.003,0.0742,0.0036,0.001
"7","Rull_A",0.561,1.87,12.8,61.9,0.133,4.62,1.49,0.0581,0.0479,10.4,0.0131,0.0101,0.0244,0.0314,0.0212,0.0049,0.118,0.0041,0
"7","Rull_B",0.563,1.92,11.7,61.7,0.0939,5.22,1.51,0.0344,0.051,8.49,0.0095,0.0105,0.0254,0.0508,0.0237,0.0057,0.0979,0.0051,0
"7","Rull_C",0.532,2.06,12,60.1,0.0861,4.32,1.6,0.0397,0.0556,10.3,0.0087,0.0122,0.0226,0.0344,0.0242,0.0045,0.108,0.0037,0
"7","HCS_B",0.756,1.74,11.7,63.5,0.747,3.9,1.45,0.047,0.048,9.06,0.0098,0.0108,0.0192,0.0289,0.0349,0.0059,0.119,0.0046,0.0239
"7","HSC_C",0.779,2.12,11.6,63.5,0.785,4.02,1.49,0.0318,0.0502,9.19,0.0067,0.0075,0.0156,0.0295,0.0343,0.0058,0.124,0.0049,0
"7","HSC_E",0.621,2.01,10.9,60.7,0.592,4.55,1.41,0.0451,0.0484,8.22,0.0087,0.0125,0.0202,0.0368,0.0358,0.0048,0.0989,0.0034,0.0191
